0	-77411.537090147
1	-68688.0122720876
2	-60409.3315429262
3	-52657.9837385332
4	-45351.4800230382
5	-38572.3092323116
6	-32237.982530483
7	-26430.9887534229
8	-21068.8390652607
9	-16234.022301867
10	-11844.0496273713
11	-7981.40987764396
12	-4563.61421681468
13	-1673.15148075377
14	772.467166409086
15	2690.75288880357
16	4164.1945223
17	5110.30323102806
18	5611.56785085807
19	5585.49954591971
20	5114.5871520833
21	4116.34183347851
22	2673.25242597568
23	702.830093704466
24	-1712.43632746479
25	-4655.03567340242
26	-8042.4791082381
27	-11957.2554678422
28	-16316.8759163443
29	-21203.8292896147
30	-26535.6267517833
31	-32394.7571387202
32	-38698.7316145551
33	-45530.0390151585
34	-52806.1905046598
35	-60609.6749189296
36	-68858.0034220974
