0	35241.0623527737
1	35151.6301045087
2	35063.7052146359
3	34985.1788345461
4	34908.1598128485
5	34840.5393009339
6	34774.4261474115
7	34717.7115036721
8	34662.5042183249
9	34616.6954427607
10	34572.3940255887
11	34537.4911181997
12	34504.0955692029
13	34480.0985299891
14	34457.6088491675
15	34444.5176781289
16	34432.9338654825
17	34430.7485626191
18	34430.0706181479
19	34438.7911834597
20	34449.0191071637
21	34468.6455406507
22	34489.77933253
23	34520.3116341921
24	34552.3512942466
25	34593.7894640839
26	34636.7349923136
27	34689.0790303261
28	34742.930426731
29	34806.1803329187
30	34870.9375974988
31	34945.0933718618
32	35020.756504617
33	35105.8181471552
34	35192.3871480856
35	35288.354658799
36	35385.8295279046
